,video_uid,qid,question,task,relevant_timestamps,mcq_test,answer_1,answer_2,answer_3,answer_4,answer_5,duration_in_seconds,scenarios,video_source,device
13,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,Where is the kettle placed in relation to the kitchen counter?,reasoning/spatial/relationship,N/A,"A. The kettle is placed on the table to the right of the kitchen counter.
B. The kettle is stored in a cupboard to the left of the kitchen counter.
C. The kettle is on a shelf directly above the kitchen counter.
D. The kettle is on the stove, which is part of the kitchen counter.
E. The kettle is placed on a rolling cart opposite the kitchen counter.",The kettle is placed on the table to the right of the kitchen counter.,The kettle is stored in a cupboard to the left of the kitchen counter.,The kettle is on a shelf directly above the kitchen counter.,"The kettle is on the stove, which is part of the kitchen counter.",The kettle is placed on a rolling cart opposite the kitchen counter.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
14,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,What item did the camera wearer place on the window shelf?,perception/information_retrieval/factual_recall,N/A,"A. Plastic cup
B. Glass jar
C. Metal canister
D. Ceramic vase
E. Wooden bowl",Plastic cup,Glass jar,Metal canister,Ceramic vase,Wooden bowl,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
15,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_20,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,N/A,"A. The chopping board is mounted on the wall to the left of the fridge.
B. The dining table is set diagonally to the left of the television.
C. The frying pan is on a shelf directly above the sink.
D. The cabinet is recessed into the wall behind the plastic box.
E. The kettle is stored in a cupboard to the left of the kitchen counter.",The chopping board is mounted on the wall to the left of the fridge.,The dining table is set diagonally to the left of the television.,The frying pan is on a shelf directly above the sink.,The cabinet is recessed into the wall behind the plastic box.,The kettle is stored in a cupboard to the left of the kitchen counter.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
16,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_16_4,How can you retrieve the gray phone from the bathroom? ,navigation/object_retrieval_image,N/A,"A. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/D.png
B. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/B.png
C. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/A.png
D. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/C.png
E. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/E.png",navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/D.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/B.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/A.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/C.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/3/E.png,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
17,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_7_23,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,N/A,"A. The kettle is on a shelf directly above the kitchen counter.
B. The cabinet is positioned to the left of the plastic box, near the doorway.
C. The chopping board is hanging on a hook directly behind the fridge.
D. The frying pan is placed on a drying mat behind the sink.
E. The dining table is placed in the center of the room, facing the television.",The kettle is on a shelf directly above the kitchen counter.,"The cabinet is positioned to the left of the plastic box, near the doorway.",The chopping board is hanging on a hook directly behind the fridge.,The frying pan is placed on a drying mat behind the sink.,"The dining table is placed in the center of the room, facing the television.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
18,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,"Identify the unique individuals the camera wearer interacted with in the video, and specify their genders where applicable.",perception/tracking,N/A,"A. 3 Men
B. 2 Men
C. 1 Man, 1 Woman
D. 1 Man
E. 2 Men, 1 Woman",3 Men,2 Men,"1 Man, 1 Woman",1 Man,"2 Men, 1 Woman",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
19,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_24,"What was more time-consuming for the camera wearer, managing personal items or arranging books and stationery?",reasoning/temporal/duration,N/A,"A. No books were arranged.
B. Managing personal items took longer.
C. Both tasks were equally time-consuming.
D. No personal items were managed.
E. Arranging books and stationery took longer.",No books were arranged.,Managing personal items took longer.,Both tasks were equally time-consuming.,No personal items were managed.,Arranging books and stationery took longer.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
20,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_1_1,Why does the camera wearer open the tap for the second time?,reasoning/causal,N/A,"A. To wash a knife
B. To wash a cutting board
C. To wash a bowl
D. To fill a water bottle 
E. To wash his hands",To wash a knife,To wash a cutting board,To wash a bowl,To fill a water bottle,To wash his hands,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
21,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,Identify the unique technology objects that the camera wearer interacted with in the video.,perception/information_retrieval/factual_recall,N/A,"A. Phone, Television, Smartwatch
B. Phone, Television, Computer
C. Phone, Television
D. Phone, Television, Radio
E. Phone, Television, Tablet","Phone, Television, Smartwatch","Phone, Television, Computer","Phone, Television","Phone, Television, Radio","Phone, Television, Tablet",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
22,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_4_1,Which item was cleaned more often in the sink during the cooking activity: the knife or the wooden spoon?,reasoning/temporal/frequency,N/A,"A. Both the knife and the wooden spoon were cleaned with the same frequency in the sink.
B. The sink was not used for cleaning any items during the cooking activity.
C. The wooden spoon was cleaned more often in the sink.
D. Neither the knife nor the wooden spoon was cleaned in the sink.
E. The knife was cleaned more often in the sink.",Both the knife and the wooden spoon were cleaned with the same frequency in the sink.,The sink was not used for cleaning any items during the cooking activity.,The wooden spoon was cleaned more often in the sink.,Neither the knife nor the wooden spoon was cleaned in the sink.,The knife was cleaned more often in the sink.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
23,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_4_41,"During the breakfast preparation, which item was used more frequently to hold food: the pan or the chopping board?",reasoning/temporal/frequency,N/A,"A. Food was held in hand, without the use of the pan or the chopping board.
B. The chopping board was used more frequently to hold food.
C. Food was not held with either the pan or the chopping board.
D. The pan was used more frequently to hold food.
E. Both the pan and the chopping board were used with the same frequency to hold food.","Food was held in hand, without the use of the pan or the chopping board.",The chopping board was used more frequently to hold food.,Food was not held with either the pan or the chopping board.,The pan was used more frequently to hold food.,Both the pan and the chopping board were used with the same frequency to hold food.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
24,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_16_5,How can you retrieve the multi-colored tent from the bathroom? ,navigation/object_retrieval_image,N/A,"A. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/D.png
B. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/C.png
C. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/B.png
D. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/E.png
E. navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/A.png",navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/D.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/C.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/B.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/E.png,navigation_images/6fd90f8d-7a4d-425d-a812-3268db0b0342/4/A.png,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
25,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,"Which event lasted longer, the camera wearer's interaction with technology or tending to the plants outside?",reasoning/temporal/duration,N/A,"A. Tending to the plants outside took longer.
B. Both events had the same duration..
C. There was no interaction with technology.
D. Interacting with technology took longer.
E. The plants outside were not tended to.",Tending to the plants outside took longer.,Both events had the same duration..,There was no interaction with technology.,Interacting with technology took longer.,The plants outside were not tended to.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
26,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_4_18,Select the correct statement regarding frequencies of different object usage in the video,reasoning/temporal/frequency,N/A,"A. The wooden spoon was cleaned more often in the sink compared to the knife during the cooking activity.
B. The food was torn by hand, not cut with the knife or the eggshell during food preparation.
C. Food was transferred by hand, without the use of the wooden spoon or the serving spoon during meal preparation.
D. The sink was not used for cleaning any items during the cooking activity.
E. The contents of the frying pan were stirred without the use of any utensils during the cooking activity.",The wooden spoon was cleaned more often in the sink compared to the knife during the cooking activity.,"The food was torn by hand, not cut with the knife or the eggshell during food preparation.","Food was transferred by hand, without the use of the wooden spoon or the serving spoon during meal preparation.",The sink was not used for cleaning any items during the cooking activity.,The contents of the frying pan were stirred without the use of any utensils during the cooking activity.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
27,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_13_1,How can you get to the storage room from the living room? ,navigation/room_to_room,N/A,"A. Walk towards the front door then turn right. Walk forward to the end of the hallway. Go through the door on the left, and then through the door on the left again into the storage room. 
B. Walk forward and through the door. Turn right, walk forward, and go through the door on the right into the storage room. 
C. Walk forward and go through the first door on the right into the storage room. 
D. Walk towards the front door then turn right. Walk forward to the end of the hallway. Go through the door on the left, and turn right. Walk forward and go through the door on the right into the storage room. 
E. Walk towards the front door then turn right. Walk forward past the kitchen and go through the door to the storage room.","Walk towards the front door then turn right. Walk forward to the end of the hallway. Go through the door on the left, and then through the door on the left again into the storage room.","Walk forward and through the door. Turn right, walk forward, and go through the door on the right into the storage room.",Walk forward and go through the first door on the right into the storage room.,"Walk towards the front door then turn right. Walk forward to the end of the hallway. Go through the door on the left, and turn right. Walk forward and go through the door on the right into the storage room.",Walk towards the front door then turn right. Walk forward past the kitchen and go through the door to the storage room.,3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
28,6fd90f8d-7a4d-425d-a812-3268db0b0342,6fd90f8d-7a4d-425d-a812-3268db0b0342_17_5,Select the unique tools used by the camera wearer in the video.,perception/information_retrieval/factual_recall,N/A,"A. Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, cat toy stick, scissors.
B. Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, scissors.
C. Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, cat toy stick, paint brush.
D. Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, paint brush.
E. Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, paint brush, hammer.","Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, cat toy stick, scissors.","Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, scissors.","Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, cat toy stick, paint brush.","Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, paint brush.","Frying pan, knife, cutting board, plate, mug, container, sponge, pen, chair, paint brush, hammer.",3598.03,"Cleaning / laundry, Cooking, Eating, Gardening, Indoor Navigation (walking), Making coffee, Playing with pets, Talking on the phone, Talking with family members, Watching tv",kaust,GoPro Hero Black 7
