Unnamed: 0,video_uid,qid,question,task,relevant_timestamps,mcq_test,answer_1,answer_2,answer_3,answer_4,answer_5,duration_in_seconds,scenarios,video_source,device
47,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_7_18,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The fridge is located immediately to the left of the cooker
B. The laptop and plate are on separate levels of a tiered table
C. The plate drawer is situated below the tap in the kitchen
D. The plate drawer is situated on the opposite side of the kitchen from the tap
E. The charger is located to the immediate right of the laptop",The fridge is located immediately to the left of the cooker,The laptop and plate are on separate levels of a tiered table,The plate drawer is situated below the tap in the kitchen,The plate drawer is situated on the opposite side of the kitchen from the tap,The charger is located to the immediate right of the laptop,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
52,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_7_3,Where is the fridge located in relation to the cooker in the kitchen?,reasoning/spatial/relationship,,"A. The fridge is located to the right of the cooker
B. The fridge is located immediately to the left of the cooker
C. The fridge is located on the adjacent wall facing the cooker
D. The fridge is located directly above the cooker
E. The fridge is integrated into the same unit as the cooker",The fridge is located to the right of the cooker,The fridge is located immediately to the left of the cooker,The fridge is located on the adjacent wall facing the cooker,The fridge is located directly above the cooker,The fridge is integrated into the same unit as the cooker,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
53,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_6_12,"In the sitting room, which is closer to the laptop: the phone or the plate?",reasoning/spatial/proximity,,"A. There was no phone
B. They are equidistant. 
C. The phone is closer to the laptop.
D. There was no plate
E. The plate is closer to the laptop.",There was no phone,They are equidistant.,The phone is closer to the laptop.,There was no plate,The plate is closer to the laptop.,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
54,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_6_21,"In the kitchen, which is closer to the fridge: the cooker or the blender?",reasoning/spatial/proximity,,"A. The blender is directly next to the fridge
B. The cooker is directly next to the fridge
C. There was no blender
D. They are equidistant. 
E. There was no cooker",The blender is directly next to the fridge,The cooker is directly next to the fridge,There was no blender,They are equidistant.,There was no cooker,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
63,04ac4c40-22fd-42aa-a7f0-ee597ffb7058,04ac4c40-22fd-42aa-a7f0-ee597ffb7058_7_15,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The laptop is placed on the left side of the plate on the table
B. The charger and laptop are on opposite sides of the room
C. The fridge is located on the adjacent wall facing the cooker
D. The laptop is placed to the immediate right of the plate on the table
E. The plate drawer is situated above the tap",The laptop is placed on the left side of the plate on the table,The charger and laptop are on opposite sides of the room,The fridge is located on the adjacent wall facing the cooker,The laptop is placed to the immediate right of the plate on the table,The plate drawer is situated above the tap,5424.6,"Cooking, Eating, Watching tv",kaust,GoPro Hero Black 7
66,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_6_9,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. The entrance is nearer to the weighing station than the banana section at the store
B. The driver's seat is closer to the camera wearer's seat than the bus door on the bus
C. The dining table is adjacent to the cashier, with the bin on the opposite side in the restaurant
D. The trash can is closer to the dining table than the cashier in the restaurant
E. The banana section is nearer to the weighing station than the checkout counter at the store",The entrance is nearer to the weighing station than the banana section at the store,The driver's seat is closer to the camera wearer's seat than the bus door on the bus,"The dining table is adjacent to the cashier, with the bin on the opposite side in the restaurant",The trash can is closer to the dining table than the cashier in the restaurant,The banana section is nearer to the weighing station than the checkout counter at the store,2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
67,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_6_17,"At the store, which is nearer to the weighing station: the banana section or the checkout counter?",reasoning/spatial/proximity,,"A. The banana section is nearer to the weighing station than the checkout counter
B. The weighing station is adjacent to the checkout counter, with the banana section at the far end
C. The  checkout counter is nearer to the weighing station than the banana section
D. The checkout counter is located directly behind the weighing station, opposite the banana section
E. The weighing station is equidistant from both the banana section and the checkout counter",The banana section is nearer to the weighing station than the checkout counter,"The weighing station is adjacent to the checkout counter, with the banana section at the far end",The  checkout counter is nearer to the weighing station than the banana section,"The checkout counter is located directly behind the weighing station, opposite the banana section",The weighing station is equidistant from both the banana section and the checkout counter,2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
74,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_6_22,"On the bus, which is closer to the seat where the camera wearer sits during his commute from the restaurant to the supermarket: the driver's seat or the bus door?",reasoning/spatial/proximity,,"A. The camera wearer's seat is equidistant from both the driver's seat and the bus door
B. The driver's seat is closer to the camera wearer's seat than the bus door
C. The camera wearer's seat is adjacent to the driver's seat, with the bus door at the rear
D. The bus door is closer to the camera wearer's seat than the driver's seat
E. The driver's seat is positioned directly across from the camera wearer's seat, while the bus door is behind the camera wearer.",The camera wearer's seat is equidistant from both the driver's seat and the bus door,The driver's seat is closer to the camera wearer's seat than the bus door,"The camera wearer's seat is adjacent to the driver's seat, with the bus door at the rear",The bus door is closer to the camera wearer's seat than the driver's seat,"The driver's seat is positioned directly across from the camera wearer's seat, while the bus door is behind the camera wearer.",2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
76,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_7_3,Where is the trash bin located in relation to the dining table outside the restaurant?,reasoning/spatial/relationship,,"A. The trash bin is located directly in front of the dining table.
B. The trash bin is located diagonally in the right side of the dining table.
C. The trash bin is located under the dining table.
D. The trash bin is located along the hallway adjacent to the dining table.
E. The trash bin is located diagonally in the left side of the dining table.",The trash bin is located directly in front of the dining table.,The trash bin is located diagonally in the right side of the dining table.,The trash bin is located under the dining table.,The trash bin is located along the hallway adjacent to the dining table.,The trash bin is located diagonally in the left side of the dining table.,2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
81,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_6_23,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. The camera wearer's seat is equidistant from both the driver's seat and the bus door on the bus
B. The cashier is closer to the dining table where the camera wearer eats pizza than the bin
C. The driver's seat is positioned directly across from the camera wearer's seat, while the bus door is behind the camera wearer.
D. The weighing station is adjacent to the entrance, with the banana section at the far end
E. The entrance is nearer to the weighing station than the banana section at the store",The camera wearer's seat is equidistant from both the driver's seat and the bus door on the bus,The cashier is closer to the dining table where the camera wearer eats pizza than the bin,"The driver's seat is positioned directly across from the camera wearer's seat, while the bus door is behind the camera wearer.","The weighing station is adjacent to the entrance, with the banana section at the far end",The entrance is nearer to the weighing station than the banana section at the store,2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
82,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657_6_18,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. The banana section is nearer to the weighing station than the entrance at the store
B. The trash can is closer to the dining table than the cashier in the restaurant
C. The cashier is positioned directly above the dining table, while the bin is to the side in the restaurant
D. The camera wearer's seat is adjacent to the driver's seat, with the bus door at the rear
E. The weighing station is equidistant from both the banana section and the checkout counter",The banana section is nearer to the weighing station than the entrance at the store,The trash can is closer to the dining table than the cashier in the restaurant,"The cashier is positioned directly above the dining table, while the bin is to the side in the restaurant","The camera wearer's seat is adjacent to the driver's seat, with the bus door at the rear",The weighing station is equidistant from both the banana section and the checkout counter,2784.83,"Bus, Eating, Grocery shopping indoors, Indoor Navigation (walking), Talking on the phone, Walking on street",kaust,GoPro Hero Black 7
97,06638e64-21ea-4065-8d8e-919b0aaf4538,06638e64-21ea-4065-8d8e-919b0aaf4538_7_16,Where is the portable generator situated in relation to the bucket in the work area?,reasoning/spatial/relationship,,"A. The portable generator  is in a toolbox, which is under the table where the bucket is
B. The portable generator  is on the floor, in front of the bucket
C. The portable generator  is on a higher shelf, diagonally across from the bucket
D. The portable generator  is on the same bench, to the left of the bucket
E. The portable generator  is on a windowsill, directly above the bucket","The portable generator  is in a toolbox, which is under the table where the bucket is","The portable generator  is on the floor, in front of the bucket","The portable generator  is on a higher shelf, diagonally across from the bucket","The portable generator  is on the same bench, to the left of the bucket","The portable generator  is on a windowsill, directly above the bucket",1501.57,Crafting/knitting/sewing/drawing/painting,cmu,GoPro Hero Black 8
109,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_17,Where is the bookshelf positioned in relation to the couch in the sitting room?,reasoning/spatial/relationship,,"A. The bookshelf is positioned directly behind the couch
B. The bookshelf is positioned across from the couch
C. The bookshelf is positioned in front of the couch, creating a divider in the room
D. The bookshelf is positioned on the wall perpendicular to the couch's back
E. The bookshelf is positioned against the wall to the left of the couch",The bookshelf is positioned directly behind the couch,The bookshelf is positioned across from the couch,"The bookshelf is positioned in front of the couch, creating a divider in the room",The bookshelf is positioned on the wall perpendicular to the couch's back,The bookshelf is positioned against the wall to the left of the couch,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
114,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_14,Where is the plate rack situated in relation to the sink in the kitchen?,reasoning/spatial/relationship,,"A. The plate rack is situated on the counter to the right of the sink
B. The plate rack is situated directly across from the sink on the opposite counter
C. The plate rack is situated on the counter to the left of the sink
D. The plate rack is situated in the cabinet above the sink
E. The plate rack is located in the lower right corner of the sink.",The plate rack is situated on the counter to the right of the sink,The plate rack is situated directly across from the sink on the opposite counter,The plate rack is situated on the counter to the left of the sink,The plate rack is situated in the cabinet above the sink,The plate rack is located in the lower right corner of the sink.,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
120,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_16,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The wardrobe is located along the same wall as the headboard of the bed
B. The cabinet with cups is located adjacent to the drawer with cutlery on the right
C. The plate rack is located in the lower right corner of the sink
D. The bookshelf is positioned on the wall perpendicular to the couch's back
E. The dishwasher is located in the cabinet above the waste bin",The wardrobe is located along the same wall as the headboard of the bed,The cabinet with cups is located adjacent to the drawer with cutlery on the right,The plate rack is located in the lower right corner of the sink,The bookshelf is positioned on the wall perpendicular to the couch's back,The dishwasher is located in the cabinet above the waste bin,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
121,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_4,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The bookshelf is positioned in front of the couch, creating a divider in the room
B. The cabinet with cups is located on the opposite wall facing the drawer with cutlery
C. The plate rack is situated in the cabinet above the sink
D. The dishwasher is located diagonally across from the trash can
E. The wardrobe is located to the right of the bed","The bookshelf is positioned in front of the couch, creating a divider in the room",The cabinet with cups is located on the opposite wall facing the drawer with cutlery,The plate rack is situated in the cabinet above the sink,The dishwasher is located diagonally across from the trash can,The wardrobe is located to the right of the bed,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
124,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_18,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The wardrobe is located to the immediate left of the bed
B. The dishwasher is located diagonally across from the trash can
C. The plate rack is situated directly across from the sink on the opposite counter
D. The cabinet with cups is located beneath the drawer with cutlery
E. The bookshelf is positioned across from the couch",The wardrobe is located to the immediate left of the bed,The dishwasher is located diagonally across from the trash can,The plate rack is situated directly across from the sink on the opposite counter,The cabinet with cups is located beneath the drawer with cutlery,The bookshelf is positioned across from the couch,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
129,06a51f5d-79ab-4b2c-adef-05aea1e06077,06a51f5d-79ab-4b2c-adef-05aea1e06077_7_11,Where is the wardrobe where clothing is placed in relation to the bed in the bedroom?,reasoning/spatial/relationship,,"A. The wardrobe is located to the right of the bed
B. The wardrobe is located on the wall perpendicular to the bed's length
C. The wardrobe is located at the foot of the bed
D. The wardrobe is located to the immediate left of the bed
E. The wardrobe is located along the same wall as the headboard of the bed",The wardrobe is located to the right of the bed,The wardrobe is located on the wall perpendicular to the bed's length,The wardrobe is located at the foot of the bed,The wardrobe is located to the immediate left of the bed,The wardrobe is located along the same wall as the headboard of the bed,1800.13,"Camp setup/pack-up/chores, Cleaning / laundry, Playing with pets, Talking with friends/housemates",minnesota,Zshade
136,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_22,Where is the dough sheeter located in relation to the tray rack in the Bakery?,reasoning/spatial/relationship,,"A. The dough sheeter is located in a separate room from the tray rack
B. The dough sheeter is integrated into the tray rack
C. The dough sheeter is located directly beneath the tray rack
D. The dough sheeter is located next to the tray rack
E. The dough sheeter is located on the wall perpendicular to the tray rack",The dough sheeter is located in a separate room from the tray rack,The dough sheeter is integrated into the tray rack,The dough sheeter is located directly beneath the tray rack,The dough sheeter is located next to the tray rack,The dough sheeter is located on the wall perpendicular to the tray rack,5409.87,Baker,unict,GoPro Hero Black 8
137,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_1,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The industrial mixer is found in a different section of the bakery than the sink
B. The dough divider machine is situated in a mobile cart that encircles the dough fondant sheeter
C. The oven shovel is stored leaning against the corner opposite the oven in the Bakery
D. The baking mixer is placed in a corner farthest from the oven
E. The dough sheeter is located directly beneath the tray rack",The industrial mixer is found in a different section of the bakery than the sink,The dough divider machine is situated in a mobile cart that encircles the dough fondant sheeter,The oven shovel is stored leaning against the corner opposite the oven in the Bakery,The baking mixer is placed in a corner farthest from the oven,The dough sheeter is located directly beneath the tray rack,5409.87,Baker,unict,GoPro Hero Black 8
139,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_6_17,"Which is nearer to the tray rack in the Bakery, the dough cutter or the baking tray?",reasoning/spatial/proximity,,"A. Nearer to the baking tray
B. They are equally close
C. There is no baking tray
D. Nearer to the dough cutter
E. There is no dough cutter",Nearer to the baking tray,They are equally close,There is no baking tray,Nearer to the dough cutter,There is no dough cutter,5409.87,Baker,unict,GoPro Hero Black 8
140,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_18,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The industrial mixer is found on the immediate right of the sink
B. The dough divider machine is situated within the same housing as the dough fondant sheeter
C. The baking mixer is placed on the opposite end of the room from the oven
D. The oven shovel is stored leaning against the corner opposite the oven in the Bakery
E. The dough sheeter is located in a separate room from the tray rack",The industrial mixer is found on the immediate right of the sink,The dough divider machine is situated within the same housing as the dough fondant sheeter,The baking mixer is placed on the opposite end of the room from the oven,The oven shovel is stored leaning against the corner opposite the oven in the Bakery,The dough sheeter is located in a separate room from the tray rack,5409.87,Baker,unict,GoPro Hero Black 8
141,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_6_13,Is the dough sheeter closer to the dough cutter or the tray in the Bakery?,reasoning/spatial/proximity,,"A. Closer to the dough cutter
B. Closer to the tray
C. There is no tray
D. There is no dough cutter
E. They are equally close",Closer to the dough cutter,Closer to the tray,There is no tray,There is no dough cutter,They are equally close,5409.87,Baker,unict,GoPro Hero Black 8
146,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_3,Where is the industrial mixer found in relation to the sink in the Bakery?,reasoning/spatial/relationship,,"A. The industrial mixer is found within a cupboard under the sink
B. The industrial mixer is found adjacent to the sink, sharing a countertop
C. The industrial mixer is found in a different section of the bakery than the sink
D. The industrial mixer is found on the immediate right of the sink
E. The industrial mixer is found directly above the sink",The industrial mixer is found within a cupboard under the sink,"The industrial mixer is found adjacent to the sink, sharing a countertop",The industrial mixer is found in a different section of the bakery than the sink,The industrial mixer is found on the immediate right of the sink,The industrial mixer is found directly above the sink,5409.87,Baker,unict,GoPro Hero Black 8
147,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_16,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The dough sheeter is located next to the tray rack
B. The dough divider machine is situated on the right side of the dough fondant sheeter
C. The industrial mixer is found directly above the sink
D. The baking mixer is placed diagonally across from the oven
E. The oven shovel is stored inside the oven when not in use",The dough sheeter is located next to the tray rack,The dough divider machine is situated on the right side of the dough fondant sheeter,The industrial mixer is found directly above the sink,The baking mixer is placed diagonally across from the oven,The oven shovel is stored inside the oven when not in use,5409.87,Baker,unict,GoPro Hero Black 8
149,07b1c874-9dc1-42bc-87ff-dffa9bef14fb,07b1c874-9dc1-42bc-87ff-dffa9bef14fb_7_4,Where is the dough divider machine situated in relation to the dough fondant sheeter in the Bakery?,reasoning/spatial/relationship,,"A. The dough divider machine is situated in a mobile cart that encircles the dough fondant sheeter
B. The dough divider machine is situated on the right side of the dough fondant sheeter
C. The dough divider machine is situated within the same housing as the dough fondant sheeter
D. The dough divider machine is situated to form an L-shape with the dough fondant sheeter
E. The dough divider machine is situated on the left side of the dough fondant sheeter",The dough divider machine is situated in a mobile cart that encircles the dough fondant sheeter,The dough divider machine is situated on the right side of the dough fondant sheeter,The dough divider machine is situated within the same housing as the dough fondant sheeter,The dough divider machine is situated to form an L-shape with the dough fondant sheeter,The dough divider machine is situated on the left side of the dough fondant sheeter,5409.87,Baker,unict,GoPro Hero Black 8
